PLAYER_NAME,Touch < 2 Seconds,Touch 2-6 Seconds,Touch 6+ Seconds
DeMarcus Cousins,0.535,0.426,0.039
Stephen Curry,0.423,0.349,0.229
James Harden,0.274,0.388,0.338
Damian Lillard,0.295,0.307,0.398
Kevin Durant,0.487,0.335,0.178
Anthony Davis,0.678,0.291,0.032
LeBron James,0.328,0.331,0.341
Carmelo Anthony,0.379,0.436,0.185
Russell Westbrook,0.227,0.404,0.369
Paul George,0.456,0.374,0.17
CJ McCollum,0.351,0.384,0.265
DeMar DeRozan,0.265,0.508,0.227
John Wall,0.251,0.441,0.308
Klay Thompson,0.728,0.241,0.031
Blake Griffin,0.57,0.302,0.128
Brandon Knight,0.349,0.378,0.273
Isaiah Thomas,0.317,0.5,0.183
Kobe Bryant,0.35,0.437,0.213
Kyrie Irving,0.222,0.379,0.399
Kemba Walker,0.284,0.357,0.358
Dwyane Wade,0.266,0.473,0.261
Nikola Vucevic,0.635,0.345,0.02
Andrew Wiggins,0.473,0.475,0.053
Derrick Rose,0.262,0.454,0.284
Eric Bledsoe,0.234,0.473,0.293
Brook Lopez,0.603,0.316,0.082
Reggie Jackson,0.161,0.296,0.543
Kyle Lowry,0.339,0.404,0.257
Jimmy Butler,0.398,0.404,0.197
Kawhi Leonard,0.449,0.432,0.119
Chris Paul,0.132,0.364,0.504
Gordon Hayward,0.452,0.374,0.175
Dirk Nowitzki,0.643,0.343,0.014
Jahlil Okafor,0.39,0.512,0.098
Bradley Beal,0.455,0.419,0.127
Khris Middleton,0.504,0.396,0.1
Chris Bosh,0.656,0.31,0.033
Rudy Gay,0.545,0.389,0.066
Jrue Holiday,0.185,0.486,0.329
LaMarcus Aldridge,0.66,0.327,0.013
Karl-Anthony Towns,0.661,0.322,0.018
Ryan Anderson,0.568,0.419,0.013
Jordan Clarkson,0.369,0.382,0.249
Pau Gasol,0.682,0.263,0.055
Marc Gasol,0.554,0.405,0.041
Avery Bradley,0.705,0.26,0.035
Victor Oladipo,0.436,0.417,0.148
Zach Randolph,0.464,0.472,0.064
Emmanuel Mudiay,0.281,0.472,0.247
Danilo Gallinari,0.472,0.396,0.132
Thaddeus Young,0.566,0.368,0.066
Paul Millsap,0.629,0.349,0.022
Derrick Favors,0.71,0.215,0.075
Andre Drummond,0.66,0.311,0.029
Al Horford,0.787,0.193,0.02
Kevin Love,0.698,0.271,0.031
Giannis Antetokounmpo,0.46,0.4,0.14
Monta Ellis,0.328,0.44,0.231
Kentavious Caldwell-Pope,0.539,0.405,0.055
Tyreke Evans,0.23,0.45,0.319
Ish Smith,0.172,0.525,0.303
Nicolas Batum,0.558,0.34,0.102
Mike Conley,0.355,0.371,0.274
Jeff Teague,0.23,0.422,0.349
Rodney Hood,0.435,0.41,0.156
Kristaps Porzingis,0.706,0.276,0.018
Goran Dragic,0.336,0.417,0.246
Eric Gordon,0.593,0.348,0.058
Will Barton,0.43,0.426,0.145
D'Angelo Russell,0.393,0.335,0.271
Greg Monroe,0.527,0.437,0.036
Deron Williams,0.387,0.366,0.247
Jamal Crawford,0.373,0.406,0.221
Marcus Morris,0.469,0.451,0.079
Jabari Parker,0.638,0.344,0.018
Evan Fournier,0.544,0.391,0.066
JJ Redick,0.793,0.197,0.01
Zach LaVine,0.44,0.405,0.156
Tobias Harris,0.586,0.377,0.037
Devin Booker,0.506,0.364,0.129
Arron Afflalo,0.566,0.391,0.043
Markieff Morris,0.597,0.382,0.021
Jarrett Jack,0.315,0.278,0.407
Serge Ibaka,0.894,0.104,0.002
Jae Crowder,0.792,0.203,0.005
J.R. Smith,0.635,0.299,0.066
Wesley Matthews,0.629,0.33,0.041
Rajon Rondo,0.319,0.324,0.357
Alec Burks,0.362,0.467,0.171
Norris Cole,0.308,0.434,0.258
Al Jefferson,0.489,0.416,0.095
Chandler Parsons,0.544,0.396,0.06
Robert Covington,0.763,0.226,0.011
Joe Johnson,0.403,0.411,0.185
Trevor Ariza,0.703,0.283,0.014
Darren Collison,0.373,0.399,0.228
DeMarre Carroll,0.681,0.27,0.048
Lou Williams,0.382,0.469,0.149
Julius Randle,0.422,0.442,0.135
Jeff Green,0.505,0.375,0.119
Michael Carter-Williams,0.373,0.272,0.355
Michael Beasley,0.498,0.468,0.034
Marcin Gortat,0.822,0.16,0.018
Luol Deng,0.738,0.233,0.028
Gary Harris,0.65,0.318,0.033
Draymond Green,0.716,0.234,0.051
Elfrid Payton,0.348,0.448,0.204
Jared Sullinger,0.698,0.266,0.036
George Hill,0.501,0.275,0.224
Trey Burke,0.431,0.371,0.199
CJ Miles,0.741,0.245,0.014
Tony Parker,0.252,0.368,0.379
Mirza Teletovic,0.795,0.195,0.01
Dennis Schroder,0.301,0.349,0.35
Kent Bazemore,0.597,0.33,0.073
Otto Porter,0.791,0.19,0.02
Jose Juan Barea,0.257,0.355,0.388
Harrison Barnes,0.649,0.336,0.015
Bojan Bogdanovic,0.632,0.306,0.062
Isaiah Canaan,0.568,0.327,0.105
TJ Warren,0.689,0.282,0.03
Marco Belinelli,0.783,0.188,0.029
Kenneth Faried,0.851,0.137,0.011
Evan Turner,0.284,0.471,0.245
Jeremy Lin,0.392,0.399,0.21
Hassan Whiteside,0.713,0.266,0.021
Nikola Mirotic,0.748,0.242,0.01
Marvin Williams,0.829,0.169,0.001
Matt Barnes,0.783,0.202,0.014
Dion Waiters,0.394,0.454,0.152
Omri Casspi,0.728,0.264,0.008
Ersan Ilyasova,0.759,0.239,0.002
Jonas Valanciunas,0.707,0.267,0.027
Marcus Thornton,0.627,0.271,0.101
Myles Turner,0.832,0.16,0.008
Hollis Thompson,0.819,0.175,0.006
Al-Farouq Aminu,0.674,0.285,0.041
Nerlens Noel,0.721,0.263,0.015
Sean Kilpatrick,0.659,0.3,0.041
Enes Kanter,0.77,0.206,0.024
Marcus Smart,0.607,0.321,0.072
Terrence Ross,0.697,0.264,0.039
Raymond Felton,0.326,0.434,0.24
Gerald Green,0.698,0.269,0.033
Dwight Howard,0.759,0.214,0.027
Jerryd Bayless,0.585,0.28,0.135
Patrick Beverley,0.527,0.33,0.143
Allen Crabbe,0.806,0.191,0.003
Shabazz Muhammad,0.724,0.267,0.009
Stanley Johnson,0.467,0.472,0.06
Gary Neal,0.444,0.469,0.086
Courtney Lee,0.665,0.288,0.047
Robin Lopez,0.734,0.193,0.073
Kelly Olynyk,0.676,0.303,0.02
Alex Len,0.714,0.265,0.021
Shelvin Mack,0.318,0.473,0.209
Doug McDermott,0.822,0.176,0.002
Luis Scola,0.705,0.264,0.031
Jameer Nelson,0.332,0.326,0.342
O.J. Mayo,0.639,0.29,0.072
Jerami Grant,0.619,0.343,0.038
Jeremy Lamb,0.576,0.312,0.112
Ricky Rubio,0.435,0.309,0.256
Austin Rivers,0.39,0.368,0.242
Kyle Korver,0.909,0.089,0.002
Rodney Stuckey,0.403,0.455,0.143
Patty Mills,0.637,0.229,0.134
Jusuf Nurkic,0.714,0.286,0
Kevin Martin,0.564,0.379,0.057
Jordan Hill,0.646,0.261,0.093
Nikola Jokic,0.691,0.269,0.04
Aaron Gordon,0.7,0.263,0.036
Manu Ginobili,0.553,0.336,0.111
Nik Stauskas,0.672,0.279,0.05
Wayne Ellington,0.643,0.312,0.045
Gerald Henderson,0.524,0.394,0.082
Mo Williams,0.351,0.351,0.298
Archie Goodwin,0.362,0.49,0.148
Tony Allen,0.639,0.321,0.041
Terrence Jones,0.621,0.33,0.049
Mario Chalmers,0.372,0.336,0.291
Cory Joseph,0.258,0.422,0.319
Tim Duncan,0.707,0.252,0.041
Toney Douglas,0.385,0.412,0.203
Ramon Sessions,0.406,0.359,0.235
Meyers Leonard,0.837,0.158,0.005
Langston Galloway,0.629,0.299,0.071
PJ Tucker,0.636,0.332,0.033
Danny Green,0.805,0.191,0.004
Gorgui Dieng,0.708,0.273,0.019
Derrick Williams,0.607,0.34,0.053
Bobby Portis,0.664,0.315,0.021
Darrell Arthur,0.832,0.164,0.004
Jon Leuer,0.72,0.273,0.006
Carl Landry,0.767,0.225,0.008
Nick Young,0.616,0.352,0.032
Lance Stephenson,0.304,0.5,0.196
Taj Gibson,0.734,0.25,0.016
Aaron Brooks,0.245,0.409,0.345
Nene,0.576,0.354,0.07
Tyler Johnson,0.558,0.281,0.161
Matthew Dellavedova,0.45,0.301,0.249
Corey Brewer,0.689,0.302,0.009
Ben McLemore,0.722,0.261,0.018
E'Twaun Moore,0.468,0.383,0.149
DeAndre Jordan,0.911,0.069,0.02
Jason Smith,0.889,0.098,0.012
Frank Kaminsky,0.67,0.324,0.006
Lance Thomas,0.586,0.393,0.021
Wesley Johnson,0.893,0.105,0.002
Joffrey Lauvergne,0.763,0.222,0.016
Shane Larkin,0.349,0.343,0.307
Josh Smith,0.699,0.258,0.043
Marreese Speights,0.811,0.178,0.011
JaMychal Green,0.785,0.213,0.002
Garrett Temple,0.695,0.277,0.028
Brandon Jennings,0.386,0.307,0.307
Ian Mahinmi,0.845,0.148,0.007
Mason Plumlee,0.723,0.234,0.043
Jose Calderon,0.535,0.21,0.254
Patrick Patterson,0.775,0.225,0
Zaza Pachulia,0.809,0.18,0.011
PJ Hairston,0.752,0.214,0.034
David Lee,0.712,0.27,0.018
Luke Babbitt,0.498,0.477,0.025
Mike Dunleavy,0.818,0.182,0
Andrea Bargnani,0.841,0.159,0
Jared Dudley,0.908,0.09,0.002
Greivis Vasquez,0.449,0.384,0.167
Cody Zeller,0.851,0.146,0.002
Justise Winslow,0.696,0.267,0.037
Randy Foye,0.474,0.314,0.212
Paul Pierce,0.65,0.312,0.038
Devin Harris,0.599,0.355,0.046
Rudy Gobert,0.845,0.144,0.011
David West,0.752,0.237,0.011
TJ McConnell,0.246,0.444,0.31
Donald Sloan,0.384,0.398,0.218
Vince Carter,0.662,0.297,0.041
Kosta Koufos,0.885,0.103,0.011
D.J. Augustin,0.351,0.346,0.303
Andre Iguodala,0.652,0.309,0.039
Iman Shumpert,0.597,0.34,0.063
Andrew Nicholson,0.567,0.375,0.059
Kris Humphries,0.827,0.167,0.007
Donatas Motiejunas,0.75,0.24,0.01
Leandro Barbosa,0.63,0.332,0.038
Trey Lyles,0.715,0.283,0.002
Amir Johnson,0.799,0.192,0.009
Alexis Ajinca,0.781,0.209,0.01
Spencer Hawes,0.754,0.236,0.01
Ty Lawson,0.317,0.422,0.261
Mario Hezonja,0.652,0.287,0.06
Tony Snell,0.611,0.298,0.091
Charlie Villanueva,0.753,0.241,0.006
Steven Adams,0.872,0.121,0.007
Maurice Harkless,0.717,0.254,0.03
Josh Richardson,0.574,0.283,0.143
Willie Cauley-Stein,0.875,0.119,0.006
Dante Cunningham,0.866,0.13,0.005
Tim Hardaway Jr.,0.746,0.242,0.011
Jason Terry,0.713,0.228,0.059
Markel Brown,0.628,0.334,0.038
Raul Neto,0.424,0.448,0.127
Clint Capela,0.876,0.121,0.003
Jerian Grant,0.322,0.45,0.228
Seth Curry,0.518,0.259,0.223
John Henson,0.821,0.172,0.007
Tristan Thompson,0.847,0.148,0.005
Mike Scott,0.891,0.099,0.011
Metta World Peace,0.605,0.339,0.056
Boris Diaw,0.491,0.426,0.084
Roy Hibbert,0.676,0.279,0.044
Channing Frye,0.898,0.099,0.003
Thabo Sefolosha,0.746,0.235,0.019
Festus Ezeli,0.842,0.136,0.023
Trevor Booker,0.752,0.24,0.008
Anthony Morrow,0.787,0.207,0.006
Tyler Zeller,0.878,0.122,0
Shaun Livingston,0.404,0.46,0.136
Cameron Payne,0.386,0.274,0.339
Ronnie Price,0.571,0.319,0.11
Brandon Bass,0.681,0.278,0.041
Norman Powell,0.59,0.349,0.061
Larry Nance Jr.,0.837,0.16,0.003
Rondae Hollis-Jefferson,0.565,0.399,0.036
Tyson Chandler,0.907,0.086,0.006
Timofey Mozgov,0.838,0.14,0.022
Aron Baynes,0.89,0.102,0.008
Lavoy Allen,0.897,0.103,0
Anthony Tolliver,0.934,0.066,0
Tim Frazier,0.201,0.45,0.349
Joakim Noah,0.811,0.182,0.008
Chris McCullough,0.807,0.193,0
Sasha Vujacic,0.79,0.188,0.022
Beno Udrih,0.433,0.34,0.227
JJ Hickson,0.761,0.219,0.019
Jonathon Simmons,0.469,0.427,0.104
Richaun Holmes,0.833,0.167,0
Troy Daniels,0.818,0.166,0.016
JaKarr Sampson,0.577,0.397,0.025
Marcelo Huertas,0.326,0.404,0.27
Justin Holiday,0.68,0.276,0.044
Tyus Jones,0.361,0.31,0.329
Anthony Brown,0.728,0.264,0.008
Jarell Martin,0.724,0.267,0.009
Tiago Splitter,0.727,0.26,0.013
Dwight Powell,0.919,0.081,0
Amar'e Stoudemire,0.738,0.231,0.032
Kevin Seraphin,0.534,0.387,0.078
James Johnson,0.468,0.481,0.051
Richard Jefferson,0.735,0.252,0.013
Kyle O'Quinn,0.649,0.284,0.066
CJ Watson,0.496,0.365,0.139
Steve Blake,0.508,0.25,0.242
Ryan Kelly,0.671,0.309,0.02
Thomas Robinson,0.694,0.289,0.017
Ed Davis,0.829,0.165,0.006
Tyler Ennis,0.337,0.396,0.267
Andrew Bogut,0.875,0.11,0.015
JaVale McGee,0.799,0.194,0.007
Andre Roberson,0.879,0.11,0.011
Nemanja Bjelica,0.77,0.204,0.026
Kendall Marshall,0.453,0.316,0.231
Miles Plumlee,0.738,0.253,0.009
Kyle Anderson,0.405,0.503,0.092
Rashad Vaughn,0.788,0.205,0.008
Cole Aldrich,0.836,0.16,0.004
John Jenkins,0.6,0.294,0.106
Jonas Jerebko,0.805,0.195,0
Shabazz Napier,0.388,0.373,0.239
Quincy Acy,0.843,0.148,0.01
Chase Budinger,0.787,0.197,0.017
Brandon Rush,0.823,0.162,0.015
Joe Ingles,0.715,0.261,0.024
Noah Vonleh,0.723,0.259,0.018
Ray McCallum,0.517,0.276,0.207
Josh McRoberts,0.608,0.338,0.054
Solomon Hill,0.643,0.324,0.034
James Anderson,0.651,0.297,0.051
Bismack Biyombo,0.844,0.156,0
Alonzo Gee,0.672,0.328,0
Darrun Hilliard,0.504,0.481,0.015
Drew Gooden,0.738,0.252,0.01
Willie Reed,0.88,0.12,0
Glenn Robinson,0.689,0.298,0.013
Kelly Oubre,0.626,0.289,0.085
Phil Pressey,0.156,0.532,0.312
Axel Toupane,0.9,0.1,0
Kyle Singler,0.842,0.149,0.009
Jeff Withey,0.926,0.074,0
Johnny O'Bryant,0.813,0.177,0.01
Justin Anderson,0.69,0.27,0.04
Kevin Garnett,0.809,0.191,0
Dewayne Dedmon,0.847,0.153,0
Robert Sacre,0.707,0.293,0
Tayshaun Prince,0.728,0.241,0.031
Omer Asik,0.865,0.13,0.005
Kirk Hinrich,0.388,0.434,0.178
Luc Mbah a Moute,0.836,0.164,0
Chris Johnson,0.751,0.233,0.016
Tarik Black,0.769,0.221,0.01
Chris Andersen,0.847,0.139,0.014
Reggie Bullock,0.837,0.163,0
Andre Miller,0.316,0.357,0.327
Kostas Papanikolaou,0.667,0.303,0.03
Sonny Weems,0.67,0.294,0.037
Pablo Prigioni,0.381,0.374,0.245
Cristiano Felicio,0.875,0.125,0
Salah Mejri,0.859,0.128,0.013
Jason Thompson,0.764,0.208,0.028
Lamar Patterson,0.747,0.203,0.051
Ryan Hollins,0.81,0.19,0
Kendrick Perkins,0.627,0.307,0.067
Nick Collison,0.835,0.165,0
Sergey Karasev,0.781,0.205,0.014
